"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CTPS1",0.062040022523677,-0.24230622622744,0.251,0.286,1
"AC008894.2",0.0620719521090108,-0.934217435748642,0.007,0.017,1
"SEPSECS",0.062081152618865,-0.289244118869713,0.09,0.117,1
"SMIM18",0.0620968174414567,0.995639253077813,0.021,0.012,1
"ATP5PD",0.0621097331010865,-0.102702442842766,0.755,0.773,1
"RTP5",0.0621307407552201,-0.904414256286748,0.01,0.021,1
"BX664615.2",0.0622114422674259,-0.692084762710143,0.023,0.037,1
"ALDH9A1",0.0622210077463206,-0.176274203051845,0.316,0.359,1
"TUBGCP2",0.0622369455968857,-0.132001439667052,0.402,0.449,1
"LARP1B",0.0622622870928506,-0.272404913084386,0.152,0.184,1
"AP1S1",0.0623495390321054,-0.320516458594146,0.171,0.201,1
"ZCCHC24",0.0623761448575168,-0.900853582749863,0.007,0.017,1
"ERMARD",0.0624190284726239,-0.328563668641997,0.104,0.131,1
"MAP3K11",0.0624321521049607,-0.205088001842656,0.282,0.323,1
"TSHZ3",0.0624439104382235,-0.930666285351807,0.007,0.017,1
"SERINC1",0.0626067541123133,0.0802628290081835,0.75,0.731,1
"TP73",0.0627155819649068,-0.841762690317493,0.007,0.017,1
"HDAC1",0.0628768643036242,-0.156738766977008,0.667,0.677,1
"ENPP5",0.0630223798931774,-0.809039860916754,0.007,0.017,1
"MAT2A",0.0630756833138857,-0.183095928216315,0.307,0.35,1
"MESP1",0.0630907254200077,-0.71439798113417,0.007,0.017,1
"EPB41L4A",0.0631234730824063,-0.273232262317767,0.044,0.062,1
"NUCB1-AS1",0.0631544311734122,1.11018551553182,0.017,0.009,1
"AMDHD1",0.0632618572977494,-0.816676456397222,0.007,0.017,1
"SMIM30",0.0632910837129499,-0.283923500132422,0.094,0.121,1
"IFT52",0.0633535354047901,-0.132609614917414,0.182,0.219,1
"ALDH5A1",0.0633734893954228,-0.305529458443303,0.075,0.098,1
"PEF1",0.0634166547109646,-0.164830100570272,0.351,0.395,1
"PLAUR",0.063436133393544,-1.78971271102885,0.054,0.072,1
"AC093462.1",0.0634368133182821,-0.459991333330165,0.021,0.035,1
"HSPA6",0.06352205275087,-1.03056546998875,0.016,0.028,1
"TRAP1",0.0635778743507662,-0.184497798803058,0.272,0.309,1
"GTF2I",0.0635879568424269,-0.212341376785227,0.441,0.475,1
"BPHL",0.0636889252954493,0.459286920046596,0.078,0.058,1
"EXOC8",0.0637186666319892,0.241202959548261,0.237,0.206,1
"PYM1",0.0637847918121448,-0.0873373222332667,0.269,0.316,1
"SOX7",0.0637882035399687,0.944151351092006,0.021,0.012,1
"HMGN5",0.0637950239117947,-0.503015976074252,0.024,0.039,1
"NCF2",0.0638177625444327,-0.825102349250516,0.085,0.106,1
"TMEM69",0.063832003214706,-0.289725911726531,0.1,0.128,1
"ARID1B",0.0638510104525649,0.092211087475473,0.773,0.792,1
"APOLD1",0.0640050064777497,-0.375265733421202,0.085,0.11,1
"ZNHIT6",0.0640822158446435,0.236713691745619,0.206,0.178,1
"AC109492.1",0.0640998019510809,0.804296782235588,0.032,0.021,1
"PKN3",0.0641453043534215,-0.751102692430207,0.02,0.033,1
"CD80",0.0641792199969225,0.0264285443720218,0.193,0.16,1
"DFFA",0.0642007333048996,-0.214202509198267,0.182,0.213,1
"ANKRD34A",0.0643131186026752,-1.05936404157228,0.006,0.014,1
"TMEM43",0.0643335830748181,-0.220624620428585,0.322,0.359,1
"VEZF1",0.0643945894966149,-0.225544072774407,0.279,0.311,1
"GADD45GIP1",0.0644060782171626,0.0729706526900164,0.68,0.646,1
"ASH1L-AS1",0.0645453190803115,-0.266852726518334,0.138,0.168,1
"C8orf33",0.0646332587716163,0.234815878885912,0.2,0.172,1
"CENPO",0.0646522036364734,-0.524345728463759,0.021,0.035,1
"LINC01410",0.0647169942757896,-0.451939510525066,0.048,0.067,1
"RBCK1",0.064729791010886,-0.139826607630559,0.629,0.647,1
"AC024257.3",0.0647367107015205,0.869155615358103,0.027,0.016,1
"PMM1",0.0647712730050641,-0.177200195451571,0.228,0.272,1
"PQBP1",0.0647733486868001,0.100371296748014,0.594,0.57,1
"ZFYVE21",0.0649156286806582,-0.127402509816777,0.061,0.083,1
"COPS5",0.0649759636816039,-0.145576579991217,0.433,0.479,1
"DHRS11",0.0650176083768237,-0.427756369896758,0.028,0.044,1
"PLCB3",0.0650881243137302,-0.682017108218117,0.027,0.042,1
"AC008267.5",0.065094351921019,-0.45940933879115,0.048,0.067,1
"SLC15A2",0.0651282866542089,0.51552920766176,0.051,0.035,1
"JAKMIP2-AS1",0.0651326436305604,-1.13204358458231,0.003,0.01,1
"LMAN2L",0.0651330549294279,-0.357987717692065,0.034,0.051,1
"XPA",0.0651645981828639,-0.199993627324156,0.386,0.43,1
"PHF14",0.0651697134473327,0.128024229977472,0.482,0.444,1
"ZNF561",0.0652350755009653,0.341807548350363,0.12,0.097,1
"SHISA5",0.065258502529879,-0.130096375926156,0.733,0.753,1
"AC022167.2",0.0653015714084649,-1.20902394515669,0.004,0.012,1
"TLE6",0.0653164318509712,-0.997260252352734,0.003,0.01,1
"SET",0.0653256671518656,-0.0817196746718358,0.956,0.961,1
"PHTF1",0.0653437169742734,-0.315969007492539,0.176,0.209,1
"TEX29",0.0653624456687633,-0.92176181371447,0.003,0.01,1
"GNAI1",0.0654084862135275,-0.997667632780883,0.003,0.01,1
"VCPKMT",0.0654345892315869,0.179098733901931,0.412,0.383,1
"AL138824.1",0.0654814044845957,-0.973959751495425,0.006,0.014,1
"ZNRF2",0.0654863666212814,0.0963740280612626,0.474,0.432,1
"MBOAT2",0.0655193805567025,-0.916145333454839,0.006,0.014,1
"FRAT2",0.0655430816914509,-0.207436191096278,0.152,0.186,1
"ADAMTSL4-AS1",0.0655493012863431,0.149403545347816,0.236,0.203,1
"CYTIP",0.0655618161923299,-0.121321723314114,0.883,0.895,1
"PSMC2",0.0656231002858358,-0.124327380446561,0.365,0.412,1
"TMBIM4",0.0656460816980517,-0.131128750102958,0.702,0.707,1
"SGSM2",0.0656808075626373,0.265937084943868,0.193,0.165,1
"ZCCHC14",0.0657154292403082,-0.472646503876767,0.059,0.08,1
"TBXA2R",0.0657160853251926,-1.21264308237686,0.004,0.012,1
"DBR1",0.065751046005624,-0.35197564513941,0.076,0.099,1
"NXF1",0.0658147538815427,0.120058264770245,0.457,0.415,1
"RPS6KA4",0.0658693713476919,-0.268091591004001,0.23,0.264,1
"RXRA",0.06587776870955,-0.554739366698116,0.083,0.107,1
