"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LY86.6",8.8635039879461e-64,1.9862710952317,0.854,0.392,3.24413109462815e-59,"6","LY86"
"LSP1.5",1.06271026362038e-63,0.978537016595924,1,0.994,3.88962583587695e-59,"6","LSP1"
"AC008691.1.4",1.17563837032818e-63,2.91072566063996,0.442,0.077,4.30295399923816e-59,"6","AC008691.1"
"OAZ1.5",1.17898355593444e-63,0.872856537441568,1,0.996,4.31519771307564e-59,"6","OAZ1"
"ARPC3.4",5.68112407153876e-63,0.96404651052605,1,0.992,2.0793482214239e-58,"6","ARPC3"
"IL7R.6",9.06667278010443e-63,-4.77142068619762,0.075,0.741,3.31849290424602e-58,"6","IL7R"
"SPI1.6",6.98668409581705e-62,1.60890742648334,0.839,0.35,2.55719624591e-57,"6","SPI1"
"ARL4C.4",8.92687184475834e-62,-2.18106003152954,0.593,0.925,3.2673243639e-57,"6","ARL4C"
"ZAP70.5",2.20381107327446e-61,-4.42408461382183,0.07,0.726,8.06616890929184e-57,"6","ZAP70"
"TMEM74B",5.70270550985161e-61,6.08693142078623,0.116,0.001,2.08724724366079e-56,"6","TMEM74B"
"H3F3A.5",1.17511230246204e-60,0.879528008490398,1,0.998,4.30102853824132e-56,"6","H3F3A"
"CRIP1.4",1.72706993526151e-60,1.51617699241251,1,0.989,6.32124867005066e-56,"6","CRIP1"
"PRKCH.6",1.94096693606654e-60,-3.57774909245995,0.08,0.735,7.10413308269716e-56,"6","PRKCH"
"MTSS1.5",1.40592625791257e-59,1.83361287846014,0.894,0.447,5.1458306965858e-55,"6","MTSS1"
"DNAJB1.4",2.24852076433609e-58,-2.55803261078196,0.467,0.865,8.22981084954652e-54,"6","DNAJB1"
"LCK.5",2.69051569984073e-58,-3.77447283206455,0.151,0.744,9.84755651298707e-54,"6","LCK"
"TNFAIP3.5",1.28024754741845e-57,-2.58346916779427,0.633,0.906,4.68583404830626e-53,"6","TNFAIP3"
"CD3G.5",2.24499623558027e-57,-4.36699043172492,0.07,0.701,8.21691072184735e-53,"6","CD3G"
"TKT.6",2.2985431497129e-57,1.8318157692267,0.94,0.739,8.4128977822642e-53,"6","TKT"
"LAT.4",2.60112149370867e-57,-4.37205923705782,0.05,0.699,9.52036477912309e-53,"6","LAT"
"TP53I3.5",2.80507967959979e-57,3.59279067062442,0.271,0.03,1.02668721353032e-52,"6","TP53I3"
"BTG1.5",4.81951932609964e-57,-1.09404432503812,0.995,0.997,1.76399226854573e-52,"6","BTG1"
"C12orf74.4",1.81388905817653e-56,3.25202314343247,0.327,0.046,6.63901534183193e-52,"6","C12orf74"
"TMEM156.4",4.51510726256239e-56,1.89931077375752,0.864,0.484,1.65257440917046e-51,"6","TMEM156"
"ANXA2.3",1.49349967633973e-55,1.41576420293197,0.97,0.741,5.46635816537105e-51,"6","ANXA2"
"BANK1.6",3.29913585803822e-55,1.31214015069934,0.995,0.556,1.20751671540057e-50,"6","BANK1"
"RAB31.5",3.35372984306449e-55,2.25570352293979,0.673,0.225,1.22749865986004e-50,"6","RAB31"
"HSH2D.5",4.12649451523772e-55,1.79172664264935,0.869,0.515,1.51033825752216e-50,"6","HSH2D"
"BASP1.6",7.67806867708331e-55,1.68240243307024,0.879,0.396,2.81024991649926e-50,"6","BASP1"
"AIM2.6",8.22905002587668e-55,2.21832165095305,0.693,0.24,3.01191459997112e-50,"6","AIM2"
"ACSF2.3",1.73718969199046e-54,2.69860344578322,0.452,0.097,6.35828799165427e-50,"6","ACSF2"
"CD7.6",1.73800738918033e-54,-4.42396789565932,0.07,0.69,6.36128084513892e-50,"6","CD7"
"SWAP70.6",7.00047429034171e-54,1.52658616173595,0.945,0.492,2.56224359500797e-49,"6","SWAP70"
"AL355076.2.4",1.13460750919099e-53,2.30009556650377,0.538,0.135,4.15277694438996e-49,"6","AL355076.2"
"CD2.4",2.12095888257954e-53,-4.8474792762536,0.045,0.66,7.76292160612937e-49,"6","CD2"
"SUB1.3",6.98328403179005e-53,1.16633212685786,0.99,0.974,2.55595178847548e-48,"6","SUB1"
"LINC00926.6",9.80694626226646e-53,1.55468674268303,0.925,0.456,3.58944040145215e-48,"6","LINC00926"
"PPIA.5",1.42070435024689e-52,0.786080685020286,1,0.999,5.19991999233865e-48,"6","PPIA"
"OSBPL10.6",1.4312295735852e-52,1.47266579866923,0.925,0.479,5.23844336227919e-48,"6","OSBPL10"
"SARAF.5",3.17454165890388e-52,-1.04855767687012,0.99,0.998,1.16191399257541e-47,"6","SARAF"
"HLA-DQB1.6",7.05721914807042e-52,1.24900719754304,0.985,0.695,2.58301278038525e-47,"6","HLA-DQB1"
"CRACR2B.5",8.20548332740276e-52,2.45117794898267,0.518,0.132,3.00328895266268e-47,"6","CRACR2B"
"HLA-DRB5.6",1.45155529444347e-51,1.43150505817229,0.99,0.605,5.31283753319253e-47,"6","HLA-DRB5"
"HLA-DOB.6",1.53781309635616e-51,1.98182782399001,0.704,0.251,5.62854971397319e-47,"6","HLA-DOB"
